1001 10 13633 6 506 718 1147 2257 2532 2973 3175 543 989 187 668 4040 4136 1292 1662 858 1272 4168 4251
2001 10 13633 2257 2532 6 506 543 989 1292 1662 718 1147 858 1272 4040 4136 2973 3175 4168 4251 187 668
3001 10 13633 4168 4251 858 1272 718 1147 187 668 1292 1662 2257 2532 543 989 6 506 2973 3175 4040 4136
4001 10 13633 4168 4251 858 1272 2973 3175 543 989 6 506 718 1147 1292 1662 4040 4136 2257 2532 187 668
5001 10 13633 6 506 1292 1662 2973 3175 718 1147 4040 4136 543 989 187 668 858 1272 4168 4251 2257 2532
6001 10 13633 2973 3175 858 1272 6 506 1292 1662 2257 2532 718 1147 543 989 187 668 4168 4251 4040 4136
7001 10 13633 4168 4251 187 668 1292 1662 543 989 858 1272 6 506 718 1147 2973 3175 4040 4136 2257 2532
8001 10 13633 718 1147 4040 4136 543 989 2257 2532 858 1272 1292 1662 6 506 2973 3175 187 668 4168 4251
9001 10 13633 543 989 6 506 2973 3175 858 1272 4168 4251 718 1147 4040 4136 1292 1662 2257 2532 187 668
10001 10 13633 858 1272 543 989 2257 2532 4040 4136 187 668 2973 3175 4168 4251 6 506 718 1147 1292 1662
1002 10 16211 302 772 2284 2555 2840 3056 2926 3133 1474 1826 599 1039 1344 1710 3006 3206 1210 1589 4279 4351
2002 10 16211 302 772 1474 1826 2840 3056 2284 2555 3006 3206 1210 1589 599 1039 4279 4351 1344 1710 2926 3133
3002 10 16211 302 772 2926 3133 1210 1589 4279 4351 1344 1710 2284 2555 1474 1826 599 1039 2840 3056 3006 3206
4002 10 16211 4279 4351 599 1039 2840 3056 302 772 1474 1826 1210 1589 1344 1710 2926 3133 3006 3206 2284 2555
5002 10 16211 1344 1710 3006 3206 1210 1589 2284 2555 599 1039 2926 3133 2840 3056 4279 4351 302 772 1474 1826
6002 10 16211 2284 2555 1474 1826 599 1039 1210 1589 302 772 2926 3133 4279 4351 2840 3056 1344 1710 3006 3206
7002 10 16211 2926 3133 1210 1589 2840 3056 1344 1710 1474 1826 2284 2555 3006 3206 302 772 599 1039 4279 4351
8002 10 16211 1344 1710 4279 4351 2284 2555 599 1039 2840 3056 1474 1826 2926 3133 3006 3206 302 772 1210 1589
9002 10 16211 1210 1589 1474 1826 2840 3056 1344 1710 599 1039 3006 3206 4279 4351 2284 2555 2926 3133 302 772
10002 10 16211 302 772 1210 1589 1344 1710 599 1039 2284 2555 1474 1826 3006 3206 4279 4351 2840 3056 2926 3133
1003 10 20360 4752 4777 2734 2960 2826 3043 3878 3991 140 626 442 898 2568 2811 145 631 3081 3273 4885 4896
2003 10 20360 3081 3273 145 631 4885 4896 3878 3991 2826 3043 4752 4777 2734 2960 442 898 2568 2811 140 626
3003 10 20360 4885 4896 2826 3043 3878 3991 442 898 145 631 2568 2811 3081 3273 4752 4777 140 626 2734 2960
4003 10 20360 4752 4777 140 626 3081 3273 442 898 145 631 4885 4896 3878 3991 2734 2960 2568 2811 2826 3043
5003 10 20360 2734 2960 3878 3991 4752 4777 140 626 2826 3043 442 898 145 631 3081 3273 4885 4896 2568 2811
6003 10 20360 3081 3273 145 631 4752 4777 442 898 2568 2811 3878 3991 140 626 4885 4896 2734 2960 2826 3043
7003 10 20360 4752 4777 2734 2960 2568 2811 140 626 145 631 3878 3991 2826 3043 3081 3273 442 898 4885 4896
8003 10 20360 4885 4896 140 626 3081 3273 2568 2811 4752 4777 2826 3043 3878 3991 442 898 2734 2960 145 631
9003 10 20360 2826 3043 3878 3991 2734 2960 442 898 4885 4896 140 626 4752 4777 3081 3273 145 631 2568 2811
10003 10 20360 145 631 2568 2811 2826 3043 3081 3273 3878 3991 442 898 140 626 4885 4896 4752 4777 2734 2960
1004 10 17661 3049 3244 2347 2613 445 901 999 1400 2427 2684 3999 4099 2005 2304 441 897 3652 3786 2713 2942
2004 10 17661 2347 2613 2713 2942 441 897 2427 2684 445 901 2005 2304 3652 3786 3049 3244 999 1400 3999 4099
3004 10 17661 445 901 3999 4099 2427 2684 2713 2942 441 897 3049 3244 2005 2304 3652 3786 999 1400 2347 2613
4004 10 17661 2427 2684 2713 2942 3049 3244 441 897 2005 2304 2347 2613 3999 4099 445 901 999 1400 3652 3786
5004 10 17661 3049 3244 3652 3786 2427 2684 2713 2942 2347 2613 999 1400 441 897 3999 4099 2005 2304 445 901
6004 10 17661 3049 3244 2713 2942 999 1400 3999 4099 2347 2613 2427 2684 2005 2304 441 897 3652 3786 445 901
7004 10 17661 3652 3786 2347 2613 441 897 2005 2304 445 901 999 1400 2713 2942 3049 3244 2427 2684 3999 4099
8004 10 17661 3652 3786 2427 2684 441 897 2713 2942 999 1400 2005 2304 2347 2613 3049 3244 445 901 3999 4099
9004 10 17661 2347 2613 441 897 999 1400 3652 3786 2005 2304 3999 4099 3049 3244 445 901 2427 2684 2713 2942
10004 10 17661 2347 2613 999 1400 2427 2684 2005 2304 3049 3244 2713 2942 3999 4099 445 901 441 897 3652 3786
1005 10 16510 2529 2776 648 1083 1481 1833 4677 4709 2597 2837 1667 2000 149 634 3282 3454 3449 3604 159 643
2005 10 16510 159 643 3282 3454 1667 2000 3449 3604 648 1083 2597 2837 1481 1833 149 634 4677 4709 2529 2776
3005 10 16510 1667 2000 648 1083 3449 3604 2529 2776 159 643 3282 3454 4677 4709 1481 1833 149 634 2597 2837
4005 10 16510 648 1083 1667 2000 2529 2776 3282 3454 159 643 3449 3604 149 634 2597 2837 1481 1833 4677 4709
5005 10 16510 3282 3454 3449 3604 1667 2000 1481 1833 149 634 648 1083 4677 4709 2529 2776 159 643 2597 2837
6005 10 16510 3282 3454 1481 1833 1667 2000 4677 4709 2597 2837 3449 3604 159 643 2529 2776 648 1083 149 634
7005 10 16510 159 643 2597 2837 4677 4709 149 634 3282 3454 1667 2000 2529 2776 3449 3604 1481 1833 648 1083
