1001 10 17502 833 1292 4283 858 3791 2840 2267 3297 2288 3999 2175 442 722 1344 1492 1481 2075 3006 1952 2005
2001 10 17502 3791 2840 833 1292 2288 3999 1492 1481 4283 858 2075 3006 722 1344 2267 3297 1952 2005 2175 442
3001 10 17502 1952 2005 2075 3006 4283 858 2175 442 1492 1481 3791 2840 2288 3999 833 1292 2267 3297 722 1344
4001 10 17502 1952 2005 2075 3006 2267 3297 2288 3999 833 1292 4283 858 1492 1481 722 1344 3791 2840 2175 442
5001 10 17502 833 1292 1492 1481 2267 3297 4283 858 722 1344 2288 3999 2175 442 2075 3006 1952 2005 3791 2840
6001 10 17502 2267 3297 2075 3006 833 1292 1492 1481 3791 2840 4283 858 2288 3999 2175 442 1952 2005 722 1344
7001 10 17502 1952 2005 2175 442 1492 1481 2288 3999 2075 3006 833 1292 4283 858 2267 3297 722 1344 3791 2840
8001 10 17502 4283 858 722 1344 2288 3999 3791 2840 2075 3006 1492 1481 833 1292 2267 3297 2175 442 1952 2005
9001 10 17502 2288 3999 833 1292 2267 3297 2075 3006 1952 2005 4283 858 722 1344 1492 1481 3791 2840 2175 442
10001 10 17502 2075 3006 2288 3999 3791 2840 722 1344 2175 442 2267 3297 1952 2005 833 1292 4283 858 1492 1481
1002 10 12545 1299 4385 731 4715 2353 983 4353 4260 324 1667 1649 2856 225 2936 2262 944 857 1766 1629 1487
2002 10 12545 1299 4385 324 1667 2353 983 731 4715 2262 944 857 1766 1649 2856 1629 1487 225 2936 4353 4260
3002 10 12545 1299 4385 4353 4260 857 1766 1629 1487 225 2936 731 4715 324 1667 1649 2856 2353 983 2262 944
4002 10 12545 1629 1487 1649 2856 2353 983 1299 4385 324 1667 857 1766 225 2936 4353 4260 2262 944 731 4715
5002 10 12545 225 2936 2262 944 857 1766 731 4715 1649 2856 4353 4260 2353 983 1629 1487 1299 4385 324 1667
6002 10 12545 731 4715 324 1667 1649 2856 857 1766 1299 4385 4353 4260 1629 1487 2353 983 225 2936 2262 944
7002 10 12545 4353 4260 857 1766 2353 983 225 2936 324 1667 731 4715 2262 944 1299 4385 1649 2856 1629 1487
8002 10 12545 225 2936 1629 1487 731 4715 1649 2856 2353 983 324 1667 4353 4260 2262 944 1299 4385 857 1766
9002 10 12545 857 1766 324 1667 2353 983 225 2936 1649 2856 2262 944 1629 1487 731 4715 4353 4260 1299 4385
10002 10 12545 1299 4385 857 1766 225 2936 1649 2856 731 4715 324 1667 2262 944 1629 1487 2353 983 4353 4260
1003 10 10743 247 2958 1391 1660 191 3032 1101 4334 1285 689 1248 1533 3424 3840 1288 3908 1755 3539 1499 430
2003 10 10743 1755 3539 1288 3908 1499 430 1101 4334 191 3032 247 2958 1391 1660 1248 1533 3424 3840 1285 689
3003 10 10743 1499 430 191 3032 1101 4334 1248 1533 1288 3908 3424 3840 1755 3539 247 2958 1285 689 1391 1660
