1001 12 4295 172 452 144 2 595 834 602 242 269 901 216 295 856 457 951 617 61 568 586 120 109 259 808 38
2001 12 4295 602 242 951 617 172 452 61 568 216 295 269 901 586 120 808 38 856 457 595 834 144 2 109 259
3001 12 4295 109 259 808 38 602 242 856 457 216 295 269 901 586 120 144 2 951 617 61 568 172 452 595 834
4001 12 4295 269 901 61 568 856 457 144 2 951 617 109 259 216 295 808 38 586 120 595 834 602 242 172 452
5001 12 4295 216 295 951 617 586 120 144 2 595 834 172 452 61 568 856 457 808 38 269 901 109 259 602 242
6001 12 4295 808 38 586 120 856 457 951 617 61 568 595 834 269 901 602 242 109 259 144 2 216 295 172 452
7001 12 4295 172 452 586 120 216 295 856 457 61 568 602 242 595 834 951 617 269 901 144 2 808 38 109 259
8001 12 4295 595 834 856 457 586 120 144 2 172 452 951 617 109 259 216 295 61 568 808 38 269 901 602 242
9001 12 4295 602 242 144 2 216 295 269 901 61 568 856 457 586 120 172 452 595 834 951 617 109 259 808 38
10001 12 4295 602 242 61 568 216 295 856 457 951 617 144 2 109 259 586 120 595 834 269 901 808 38 172 452
1002 12 3796 200 486 401 543 702 506 89 28 297 690 470 731 566 29 89 800 610 89 32 657 514 660 776 547
2002 12 3796 470 731 32 657 89 28 297 690 610 89 401 543 514 660 200 486 776 547 702 506 89 800 566 29
3002 12 3796 297 690 470 731 776 547 514 660 566 29 200 486 401 543 89 800 89 28 702 506 32 657 610 89
4002 12 3796 200 486 89 800 297 690 702 506 32 657 566 29 401 543 610 89 776 547 514 660 89 28 470 731
5002 12 3796 470 731 566 29 514 660 32 657 702 506 297 690 776 547 401 543 200 486 89 28 89 800 610 89
6002 12 3796 610 89 470 731 401 543 776 547 89 28 702 506 566 29 32 657 200 486 297 690 514 660 89 800
7002 12 3796 297 690 610 89 470 731 401 543 89 28 514 660 32 657 702 506 776 547 200 486 89 800 566 29
8002 12 3796 200 486 470 731 89 800 297 690 566 29 514 660 89 28 610 89 401 543 702 506 776 547 32 657
9002 12 3796 297 690 514 660 200 486 401 543 470 731 776 547 610 89 89 800 32 657 89 28 702 506 566 29
10002 12 3796 89 800 514 660 200 486 297 690 776 547 566 29 89 28 702 506 401 543 470 731 32 657 610 89
1003 12 5048 70 354 189 602 833 829 548 350 852 671 520 334 170 572 790 166 978 640 294 654 130 30 937 59
2003 12 5048 189 602 978 640 170 572 520 334 130 30 833 829 70 354 852 671 548 350 937 59 294 654 790 166
3003 12 5048 70 354 790 166 130 30 548 350 937 59 978 640 852 671 189 602 294 654 170 572 833 829 520 334
4003 12 5048 852 671 170 572 294 654 978 640 70 354 548 350 790 166 937 59 520 334 130 30 189 602 833 829
5003 12 5048 937 59 189 602 852 671 548 350 130 30 170 572 520 334 790 166 70 354 978 640 294 654 833 829
6003 12 5048 294 654 852 671 790 166 833 829 170 572 548 350 937 59 70 354 520 334 189 602 130 30 978 640
7003 12 5048 978 640 294 654 937 59 852 671 548 350 833 829 170 572 189 602 70 354 520 334 130 30 790 166
8003 12 5048 937 59 548 350 170 572 833 829 189 602 790 166 294 654 130 30 520 334 70 354 852 671 978 640
9003 12 5048 937 59 852 671 790 166 520 334 978 640 189 602 294 654 130 30 70 354 548 350 170 572 833 829
10003 12 5048 852 671 520 334 548 350 130 30 294 654 170 572 70 354 189 602 937 59 833 829 978 640 790 166
1004 12 5226 427 592 854 549 197 675 342 298 216 951 943 629 833 199 862 535 954 956 530 235 213 588 162 877
2004 12 5226 943 629 862 535 342 298 427 592 954 956 833 199 162 877 216 951 530 235 197 675 213 588 854 549
3004 12 5226 862 535 197 675 427 592 216 951 213 588 954 956 162 877 943 629 530 235 854 549 342 298 833 199
4004 12 5226 213 588 162 877 197 675 342 298 216 951 954 956 833 199 862 535 854 549 427 592 530 235 943 629
5004 12 5226 954 956 342 298 216 951 833 199 162 877 862 535 213 588 943 629 197 675 854 549 427 592 530 235
6004 12 5226 862 535 162 877 833 199 216 951 954 956 943 629 213 588 342 298 427 592 530 235 854 549 197 675
