1001 15 2564 404 38 86 452 55 259 31 568 489 566 108 295 476 617 15 89 298 834 135 901 293 120 72 2 301 242 428 457 14 776
2001 15 2564 135 901 489 566 55 259 404 38 428 457 31 568 298 834 14 776 15 89 301 242 476 617 86 452 108 295 72 2 293 120
3001 15 2564 135 901 86 452 301 242 55 259 489 566 404 38 108 295 15 89 428 457 298 834 476 617 31 568 72 2 14 776 293 120
4001 15 2564 31 568 476 617 428 457 108 295 135 901 404 38 489 566 293 120 55 259 86 452 298 834 301 242 15 89 72 2 14 776
5001 15 2564 428 457 55 259 86 452 293 120 489 566 301 242 14 776 15 89 72 2 31 568 135 901 404 38 298 834 108 295 476 617
6001 15 2564 55 259 301 242 428 457 135 901 298 834 14 776 108 295 404 38 31 568 293 120 86 452 489 566 15 89 476 617 72 2
7001 15 2564 31 568 72 2 86 452 301 242 135 901 404 38 489 566 476 617 108 295 14 776 428 457 55 259 298 834 293 120 15 89
8001 15 2564 108 295 72 2 489 566 301 242 86 452 55 259 404 38 298 834 476 617 428 457 14 776 15 89 293 120 135 901 31 568
9001 15 2564 15 89 298 834 293 120 489 566 108 295 476 617 301 242 135 901 55 259 86 452 72 2 428 457 404 38 31 568 14 776
10001 15 2564 72 2 428 457 55 259 31 568 298 834 15 89 293 120 301 242 404 38 108 295 14 776 135 901 86 452 476 617 489 566
1002 15 2484 235 731 45 800 305 89 16 657 167 130 100 486 336 170 286 548 149 690 468 520 175 189 257 660 351 506 15 852 201 543
2002 15 2484 201 543 336 170 351 506 100 486 16 657 257 660 468 520 45 800 235 731 305 89 167 130 149 690 175 189 286 548 15 852
3002 15 2484 468 520 167 130 336 170 15 852 100 486 45 800 257 660 149 690 286 548 235 731 305 89 351 506 175 189 16 657 201 543
4002 15 2484 15 852 235 731 286 548 100 486 175 189 468 520 149 690 201 543 16 657 257 660 305 89 167 130 336 170 45 800 351 506
5002 15 2484 16 657 100 486 468 520 201 543 286 548 167 130 235 731 45 800 257 660 175 189 351 506 305 89 15 852 336 170 149 690
6002 15 2484 16 657 468 520 257 660 167 130 336 170 351 506 286 548 15 852 45 800 305 89 149 690 100 486 201 543 235 731 175 189
7002 15 2484 149 690 100 486 305 89 167 130 45 800 175 189 336 170 15 852 201 543 468 520 257 660 351 506 286 548 235 731 16 657
8002 15 2484 257 660 100 486 235 731 149 690 468 520 16 657 201 543 286 548 15 852 175 189 351 506 167 130 305 89 336 170 45 800
9002 15 2484 15 852 175 189 305 89 351 506 201 543 257 660 286 548 167 130 468 520 45 800 100 486 149 690 336 170 16 657 235 731
10002 15 2484 468 520 257 660 149 690 336 170 45 800 15 852 201 543 286 548 167 130 235 731 100 486 16 657 175 189 305 89 351 506
1003 15 3783 294 862 149 854 147 654 338 342 118 197 395 166 489 640 371 162 275 943 439 530 469 59 417 829 35 354 315 954 478 213
2003 15 3783 489 640 338 342 395 166 147 654 371 162 439 530 275 943 469 59 478 213 118 197 315 954 35 354 417 829 294 862 149 854
3003 15 3783 338 342 294 862 275 943 315 954 149 854 489 640 469 59 395 166 147 654 35 354 439 530 118 197 417 829 371 162 478 213
4003 15 3783 395 166 149 854 417 829 338 342 439 530 294 862 371 162 489 640 478 213 118 197 315 954 35 354 147 654 469 59 275 943
5003 15 3783 478 213 294 862 371 162 118 197 417 829 338 342 35 354 395 166 315 954 147 654 439 530 275 943 149 854 469 59 489 640
6003 15 3783 275 943 371 162 118 197 149 854 338 342 147 654 469 59 35 354 315 954 478 213 439 530 489 640 417 829 395 166 294 862
7003 15 3783 35 354 275 943 395 166 118 197 147 654 294 862 417 829 439 530 149 854 469 59 478 213 371 162 489 640 315 954 338 342
8003 15 3783 147 654 417 829 294 862 338 342 315 954 118 197 489 640 478 213 439 530 149 854 469 59 371 162 35 354 275 943 395 166
9003 15 3783 417 829 439 530 35 354 275 943 478 213 149 854 118 197 338 342 371 162 315 954 395 166 294 862 469 59 489 640 147 654
10003 15 3783 478 213 35 354 338 342 147 654 439 530 395 166 118 197 315 954 469 59 294 862 417 829 275 943 489 640 149 854 371 162
1004 15 3028 325 634 224 744 227 782 481 477 304 743 417 199 376 691 124 86 108 951 214 592 354 701 154 708 407 46 34 345 36 270
2004 15 3028 34 345 417 199 224 744 36 270 124 86 108 951 376 691 304 743 481 477 407 46 325 634 214 592 227 782 354 701 154 708
3004 15 3028 224 744 124 86 407 46 154 708 354 701 108 951 481 477 417 199 376 691 34 345 325 634 227 782 36 270 304 743 214 592
4004 15 3028 108 951 34 345 407 46 481 477 154 708 36 270 304 743 214 592 417 199 325 634 124 86 376 691 354 701 227 782 224 744
5004 15 3028 36 270 154 708 34 345 124 86 108 951 224 744 325 634 354 701 417 199 481 477 214 592 407 46 304 743 227 782 376 691
6004 15 3028 376 691 304 743 34 345 224 744 36 270 214 592 124 86 354 701 481 477 154 708 227 782 108 951 407 46 417 199 325 634
7004 15 3028 214 592 304 743 325 634 227 782 376 691 407 46 108 951 481 477 36 270 34 345 154 708 354 701 417 199 124 86 224 744
8004 15 3028 417 199 481 477 36 270 407 46 304 743 214 592 227 782 325 634 376 691 108 951 224 744 154 708 124 86 354 701 34 345
9004 15 3028 36 270 108 951 325 634 304 743 354 701 154 708 34 345 224 744 417 199 227 782 214 592 481 477 407 46 376 691 124 86
10004 15 3028 224 744 214 592 304 743 481 477 407 46 108 951 36 270 124 86 227 782 154 708 325 634 376 691 354 701 417 199 34 345
1005 15 2916 24 322 88 768 361 539 54 330 310 350 69 471 347 780 341 818 370 102 286 305 453 316 233 867 69 543 475 666 166 198
2005 15 2916 347 780 233 867 54 330 69 543 341 818 361 539 166 198 69 471 310 350 24 322 475 666 88 768 286 305 453 316 370 102
3005 15 2916 286 305 347 780 69 471 54 330 361 539 310 350 233 867 475 666 370 102 453 316 88 768 69 543 341 818 166 198 24 322
4005 15 2916 370 102 166 198 361 539 24 322 310 350 54 330 347 780 475 666 233 867 286 305 341 818 69 471 69 543 453 316 88 768
5005 15 2916 453 316 54 330 166 198 69 471 310 350 286 305 88 768 347 780 370 102 69 543 341 818 24 322 233 867 475 666 361 539
6005 15 2916 310 350 341 818 475 666 69 471 166 198 286 305 69 543 370 102 54 330 347 780 88 768 361 539 233 867 24 322 453 316
7005 15 2916 361 539 69 471 166 198 88 768 54 330 233 867 453 316 475 666 341 818 370 102 286 305 310 350 24 322 347 780 69 543
8005 15 2916 361 539 24 322 475 666 166 198 69 543 453 316 310 350 88 768 347 780 54 330 233 867 370 102 69 471 341 818 286 305
9005 15 2916 310 350 69 543 233 867 341 818 69 471 286 305 475 666 361 539 166 198 88 768 347 780 24 322 54 330 453 316 370 102
10005 15 2916 286 305 88 768 233 867 166 198 453 316 341 818 69 471 24 322 310 350 69 543 54 330 370 102 475 666 361 539 347 780
1006 15 3525 420 228 288 801 336 638 190 795 110 100 322 392 464 927 252 313 472 966 131 933 366 68 104 202 385 774 309 484 258 437
