1001 16 6065 808 791 172 164 109 66 61 74 29 83 216 184 951 952 547 548 595 622 269 328 586 554 977 978 602 581 144 59 660 658 856 855
2001 16 6065 61 74 172 164 269 328 660 658 109 66 547 548 856 855 951 952 602 581 216 184 144 59 977 978 595 622 586 554 29 83 808 791
3001 16 6065 602 581 61 74 977 978 216 184 595 622 951 952 144 59 109 66 172 164 269 328 586 554 660 658 808 791 547 548 856 855 29 83
4001 16 6065 595 622 660 658 977 978 61 74 29 83 586 554 269 328 172 164 109 66 856 855 144 59 216 184 951 952 808 791 547 548 602 581
5001 16 6065 61 74 144 59 602 581 216 184 808 791 269 328 977 978 172 164 547 548 109 66 660 658 951 952 29 83 856 855 586 554 595 622
6001 16 6065 602 581 586 554 109 66 977 978 216 184 29 83 61 74 808 791 144 59 269 328 595 622 547 548 660 658 172 164 951 952 856 855
7001 16 6065 269 328 172 164 602 581 586 554 61 74 808 791 856 855 595 622 660 658 109 66 144 59 547 548 977 978 951 952 216 184 29 83
8001 16 6065 547 548 269 328 808 791 61 74 29 83 144 59 977 978 951 952 172 164 216 184 109 66 602 581 595 622 586 554 856 855 660 658
9001 16 6065 547 548 951 952 595 622 29 83 144 59 109 66 808 791 856 855 602 581 660 658 269 328 586 554 172 164 977 978 216 184 61 74
10001 16 6065 109 66 216 184 808 791 547 548 977 978 595 622 660 658 602 581 586 554 172 164 856 855 951 952 61 74 29 83 269 328 144 59
1002 16 5305 166 239 671 649 401 406 936 936 200 198 30 99 602 640 334 284 89 143 32 62 350 310 610 578 702 703 640 661 297 323 572 576
2002 16 5305 297 323 166 239 32 62 89 143 702 703 200 198 572 576 602 640 401 406 350 310 640 661 334 284 610 578 30 99 936 936 671 649
3002 16 5305 166 239 30 99 200 198 334 284 350 310 572 576 297 323 32 62 702 703 671 649 936 936 401 406 610 578 89 143 602 640 640 661
4002 16 5305 297 323 671 649 350 310 166 239 702 703 334 284 610 578 200 198 602 640 936 936 572 576 640 661 401 406 30 99 89 143 32 62
5002 16 5305 671 649 350 310 602 640 334 284 89 143 640 661 30 99 401 406 610 578 200 198 32 62 936 936 572 576 297 323 166 239 702 703
6002 16 5305 572 576 200 198 602 640 401 406 702 703 334 284 640 661 671 649 936 936 32 62 166 239 30 99 297 323 89 143 350 310 610 578
7002 16 5305 350 310 166 239 32 62 572 576 640 661 30 99 297 323 401 406 200 198 602 640 89 143 334 284 671 649 702 703 610 578 936 936
8002 16 5305 89 143 640 661 297 323 166 239 334 284 350 310 610 578 936 936 32 62 702 703 401 406 602 640 572 576 30 99 671 649 200 198
9002 16 5305 936 936 610 578 32 62 89 143 166 239 671 649 334 284 572 576 200 198 401 406 297 323 350 310 30 99 602 640 640 661 702 703
10002 16 5305 200 198 702 703 610 578 936 936 32 62 572 576 166 239 640 661 30 99 350 310 401 406 89 143 297 323 602 640 671 649 334 284
1003 16 7217 741 723 298 348 592 557 235 188 199 153 629 662 549 589 294 315 675 664 70 42 588 618 951 950 833 844 535 566 956 953 877 878
2003 16 7217 298 348 629 662 294 315 833 844 741 723 592 557 535 566 951 950 588 618 956 953 235 188 70 42 199 153 877 878 675 664 549 589
3003 16 7217 675 664 535 566 294 315 833 844 877 878 629 662 70 42 956 953 235 188 199 153 592 557 741 723 298 348 588 618 951 950 549 589
4003 16 7217 235 188 877 878 549 589 70 42 199 153 588 618 833 844 675 664 951 950 592 557 298 348 294 315 741 723 629 662 956 953 535 566
5003 16 7217 235 188 629 662 877 878 951 950 592 557 199 153 956 953 833 844 70 42 535 566 675 664 549 589 588 618 298 348 294 315 741 723
6003 16 7217 592 557 235 188 833 844 956 953 70 42 877 878 741 723 951 950 199 153 298 348 588 618 675 664 549 589 535 566 294 315 629 662
7003 16 7217 741 723 956 953 235 188 298 348 535 566 294 315 833 844 675 664 951 950 877 878 549 589 592 557 629 662 199 153 588 618 70 42
8003 16 7217 956 953 294 315 298 348 951 950 70 42 235 188 592 557 675 664 549 589 199 153 629 662 741 723 535 566 588 618 833 844 877 878
9003 16 7217 592 557 877 878 629 662 549 589 199 153 235 188 535 566 675 664 294 315 298 348 741 723 956 953 588 618 951 950 70 42 833 844
10003 16 7217 199 153 592 557 833 844 675 664 549 589 535 566 235 188 629 662 588 618 951 950 956 953 877 878 294 315 298 348 70 42 741 723
1004 16 7120 813 795 867 873 780 779 248 186 751 760 708 720 454 485 962 962 307 336 448 475 539 523 543 560 607 626 650 659 152 91 72 29
2004 16 7120 751 760 248 186 607 626 650 659 152 91 72 29 448 475 962 962 813 795 780 779 708 720 454 485 867 873 543 560 539 523 307 336
3004 16 7120 248 186 307 336 448 475 454 485 152 91 813 795 708 720 543 560 607 626 650 659 751 760 72 29 867 873 962 962 780 779 539 523
4004 16 7120 607 626 248 186 448 475 152 91 751 760 867 873 962 962 780 779 813 795 72 29 454 485 539 523 543 560 708 720 650 659 307 336
5004 16 7120 813 795 152 91 454 485 650 659 248 186 448 475 72 29 962 962 751 760 543 560 708 720 780 779 867 873 307 336 539 523 607 626
6004 16 7120 650 659 813 795 780 779 539 523 607 626 454 485 152 91 751 760 867 873 962 962 708 720 248 186 72 29 448 475 543 560 307 336
7004 16 7120 607 626 307 336 751 760 813 795 248 186 650 659 708 720 72 29 867 873 448 475 543 560 962 962 780 779 539 523 152 91 454 485
8004 16 7120 813 795 248 186 448 475 650 659 751 760 454 485 543 560 867 873 962 962 708 720 780 779 72 29 152 91 307 336 539 523 607 626
