1001 16 5560 808 38 172 452 109 259 61 568 29 89 216 295 951 617 28 776 595 834 269 901 586 120 977 566 602 242 144 2 547 514 856 457
2001 16 5560 61 568 172 452 269 901 547 514 109 259 28 776 856 457 951 617 602 242 216 295 144 2 977 566 595 834 586 120 29 89 808 38
3001 16 5560 602 242 61 568 977 566 216 295 595 834 951 617 144 2 109 259 172 452 269 901 586 120 547 514 808 38 28 776 856 457 29 89
4001 16 5560 595 834 547 514 977 566 61 568 29 89 586 120 269 901 172 452 109 259 856 457 144 2 216 295 951 617 808 38 28 776 602 242
5001 16 5560 61 568 144 2 602 242 216 295 808 38 269 901 977 566 172 452 28 776 109 259 547 514 951 617 29 89 856 457 586 120 595 834
6001 16 5560 602 242 586 120 109 259 977 566 216 295 29 89 61 568 808 38 144 2 269 901 595 834 28 776 547 514 172 452 951 617 856 457
7001 16 5560 269 901 172 452 602 242 586 120 61 568 808 38 856 457 595 834 547 514 109 259 144 2 28 776 977 566 951 617 216 295 29 89
8001 16 5560 28 776 269 901 808 38 61 568 29 89 144 2 977 566 951 617 172 452 216 295 109 259 602 242 595 834 586 120 856 457 547 514
9001 16 5560 28 776 951 617 595 834 29 89 144 2 109 259 808 38 856 457 602 242 547 514 269 901 586 120 172 452 977 566 216 295 61 568
10001 16 5560 109 259 216 295 808 38 28 776 977 566 595 834 547 514 602 242 586 120 172 452 856 457 951 617 61 568 29 89 269 901 144 2
11001 16 5560 144 2 856 457 808 38 602 242 109 259 172 452 29 89 586 120 28 776 547 514 61 568 216 295 977 566 269 901 595 834 951 617
12001 16 5560 595 834 144 2 547 514 28 776 977 566 109 259 951 617 29 89 808 38 61 568 269 901 586 120 216 295 172 452 602 242 856 457
13001 16 5560 144 2 172 452 109 259 586 120 61 568 951 617 595 834 547 514 977 566 856 457 602 242 808 38 216 295 28 776 29 89 269 901
14001 16 5560 595 834 856 457 61 568 144 2 977 566 586 120 216 295 109 259 29 89 602 242 951 617 269 901 808 38 172 452 28 776 547 514
15001 16 5560 856 457 61 568 29 89 586 120 28 776 269 901 172 452 808 38 216 295 109 259 547 514 602 242 951 617 595 834 144 2 977 566
1002 16 5548 572 548 334 130 610 89 32 657 640 790 401 543 702 506 470 731 671 170 30 852 602 978 297 690 350 189 89 800 200 486 936 520
2002 16 5548 200 486 602 978 30 852 572 548 702 506 297 690 350 189 32 657 334 130 610 89 89 800 401 543 470 731 640 790 936 520 671 170
3002 16 5548 89 800 702 506 350 189 602 978 401 543 200 486 936 520 671 170 30 852 640 790 32 657 610 89 572 548 297 690 470 731 334 130
