1001 18 4882 172 255 2 102 808 828 259 333 242 318 38 134 120 208 61 155 452 507 295 366 109 198 595 635 144 230 216 295 834 851 586 627 602 642 568 612
2001 18 4882 109 198 586 627 295 366 61 155 602 642 568 612 216 295 38 134 120 208 808 828 172 255 595 635 242 318 2 102 144 230 834 851 452 507 259 333
3001 18 4882 2 102 602 642 808 828 242 318 568 612 172 255 61 155 38 134 834 851 120 208 144 230 109 198 452 507 595 635 216 295 259 333 295 366 586 627
4001 18 4882 172 255 242 318 808 828 259 333 595 635 38 134 452 507 568 612 109 198 144 230 216 295 586 627 602 642 295 366 120 208 834 851 2 102 61 155
5001 18 4882 120 208 834 851 259 333 109 198 808 828 295 366 172 255 595 635 2 102 38 134 586 627 602 642 568 612 452 507 242 318 61 155 144 230 216 295
6001 18 4882 144 230 602 642 216 295 259 333 172 255 568 612 120 208 295 366 808 828 586 627 834 851 109 198 242 318 61 155 595 635 2 102 452 507 38 134
7001 18 4882 172 255 242 318 602 642 61 155 259 333 808 828 295 366 38 134 216 295 595 635 2 102 586 627 452 507 568 612 144 230 834 851 120 208 109 198
8001 18 4882 144 230 242 318 595 635 172 255 295 366 259 333 452 507 61 155 834 851 568 612 120 208 2 102 216 295 38 134 602 642 586 627 808 828 109 198
9001 18 4882 808 828 452 507 295 366 602 642 259 333 568 612 61 155 216 295 38 134 2 102 586 627 144 230 595 635 834 851 109 198 242 318 120 208 172 255
10001 18 4882 568 612 172 255 38 134 109 198 216 295 61 155 834 851 144 230 586 627 452 507 602 642 808 828 2 102 595 635 120 208 295 366 259 333 242 318
11001 18 4882 808 828 242 318 172 255 834 851 109 198 2 102 295 366 216 295 144 230 586 627 602 642 259 333 595 635 568 612 452 507 120 208 38 134 61 155
12001 18 4882 568 612 834 851 38 134 452 507 172 255 295 366 109 198 242 318 595 635 808 828 259 333 144 230 216 295 586 627 2 102 120 208 61 155 602 642
13001 18 4882 172 255 242 318 61 155 2 102 120 208 216 295 109 198 595 635 295 366 259 333 602 642 452 507 38 134 834 851 586 627 144 230 808 828 568 612
14001 18 4882 595 635 586 627 120 208 834 851 242 318 38 134 109 198 452 507 568 612 172 255 602 642 144 230 61 155 216 295 295 366 259 333 808 828 2 102
15001 18 4882 61 155 586 627 808 828 595 635 144 230 120 208 568 612 216 295 295 366 38 134 834 851 242 318 259 333 452 507 172 255 109 198 2 102 602 642
1002 18 7414 547 592 977 980 29 127 617 655 514 563 457 511 200 280 486 537 731 758 470 523 566 609 89 180 660 694 776 799 901 911 951 956 269 342 28 126
2002 18 7414 486 537 200 280 977 980 951 956 29 127 660 694 28 126 470 523 514 563 617 655 457 511 901 911 89 180 547 592 731 758 566 609 269 342 776 799
3002 18 7414 776 799 29 127 269 342 977 980 901 911 457 511 514 563 617 655 660 694 200 280 547 592 89 180 731 758 486 537 470 523 28 126 951 956 566 609
4002 18 7414 901 911 566 609 977 980 951 956 660 694 486 537 269 342 514 563 200 280 776 799 731 758 457 511 617 655 89 180 470 523 29 127 28 126 547 592
5002 18 7414 486 537 29 127 200 280 617 655 457 511 566 609 660 694 547 592 269 342 776 799 731 758 28 126 951 956 901 911 89 180 977 980 514 563 470 523
